customer_id,rank_score,booking_probability,churn_probability,preferred_channel,whatsapp_optin,call_optin,preferred_contact_hour,days_until_due,last_service_branch,date_scored,contact_result,actual_booking,actual_churn
CUST101621,0.4989545454545455,0.645,0.15,Email,0,1,19,1,Industrial Area,2026-07-14,no_answer,0,0
CUST103237,0.4854938503435593,0.785,0.055,WhatsApp,1,1,18,3,Al Wakrah,2026-07-14,no_answer,1,0
CUST100377,0.4797906933719136,0.65,0.155,WhatsApp,1,1,19,3,Al Rayyan,2026-07-14,no_answer,0,1
CUST101961,0.4768295819935692,0.72,0.095,WhatsApp,1,0,10,1,West Bay,2026-07-14,answered,0,0
CUST102479,0.4762493311971109,0.72,0.065,WhatsApp,1,1,17,3,Al Wakrah,2026-07-14,answered,0,0
CUST104570,0.4732388135085233,0.655,0.1,Email,1,0,10,2,West Bay,2026-07-14,no_answer,0,0
CUST101750,0.4731153060582626,0.675,0.12,WhatsApp,1,0,17,3,West Bay,2026-07-14,answered,0,0
CUST104488,0.4697999012058803,0.655,0.13,WhatsApp,1,1,19,3,Industrial Area,2026-07-14,no_answer,0,0
CUST103414,0.4697383694900077,0.68,0.11,WhatsApp,1,1,10,3,West Bay,2026-07-14,no_answer,0,1
CUST100949,0.4692173285626011,0.63,0.1,WhatsApp,1,0,13,2,The Pearl,2026-07-14,answered,0,0
CUST102468,0.4669817193876985,0.645,0.085,Call,1,1,14,3,Al Rayyan,2026-07-14,answered,0,0
CUST101200,0.4664153645207005,0.68,0.09,WhatsApp,1,0,12,3,Salwa Road,2026-07-14,answered,0,0
CUST100385,0.4661911666216481,0.535,0.165,SMS,0,1,12,2,Al Wakrah,2026-07-14,answered,1,0
CUST100721,0.4660200122845123,0.665,0.095,SMS,1,0,18,3,Industrial Area,2026-07-14,answered,0,0
CUST102693,0.4656690915011156,0.65,0.13,WhatsApp,1,1,9,3,Salwa Road,2026-07-14,answered,1,0
CUST103578,0.4614033908213972,0.59,0.16,WhatsApp,1,0,17,1,West Bay,2026-07-14,answered,1,0
CUST101378,0.4608522250877861,0.555,0.18,WhatsApp,1,0,16,3,The Pearl,2026-07-14,declined,0,0
CUST101561,0.4594513300204619,0.53,0.16,SMS,0,1,17,1,Al Rayyan,2026-07-14,no_answer,0,0
CUST101473,0.4564219415449624,0.555,0.09,WhatsApp,1,0,10,3,Al Rayyan,2026-07-14,no_answer,0,0
CUST104639,0.4556141423597364,0.535,0.155,WhatsApp,1,0,17,2,Lusail,2026-07-14,declined,0,0
CUST103676,0.4490049637569887,0.495,0.16,WhatsApp,1,1,19,2,Industrial Area,2026-07-14,answered,1,0
CUST104439,0.448715130670949,0.645,0.11,WhatsApp,1,1,13,3,Lusail,2026-07-14,answered,1,0
CUST100582,0.4466936457250267,0.56,0.16,WhatsApp,1,0,13,3,Industrial Area,2026-07-14,no_answer,0,0
CUST104713,0.4428984104137143,0.635,0.07,SMS,1,0,12,3,Al Wakrah,2026-07-14,answered,1,0
CUST103506,0.4414912306343175,0.525,0.135,SMS,1,0,17,1,West Bay,2026-07-14,answered,1,0
CUST100841,0.4401160479391991,0.49,0.125,SMS,0,0,20,1,Lusail,2026-07-14,answered,1,0
CUST104091,0.4396435252850044,0.555,0.11,SMS,1,0,10,1,Salwa Road,2026-07-14,answered,0,0
CUST100359,0.4388446249708613,0.495,0.155,WhatsApp,1,0,15,3,Al Rayyan,2026-07-14,declined,0,0
CUST103699,0.4372386618021971,0.475,0.135,WhatsApp,1,1,12,3,West Bay,2026-07-14,no_answer,0,0
CUST100473,0.4368583691939954,0.55,0.16,WhatsApp,1,1,17,2,Lusail,2026-07-14,answered,1,0
CUST103899,0.436408067816428,0.46,0.185,WhatsApp,1,1,12,1,Industrial Area,2026-07-14,answered,0,0
CUST101889,0.4356910204655534,0.465,0.165,WhatsApp,1,1,17,2,Al Rayyan,2026-07-14,answered,1,0
CUST100555,0.433371382636656,0.425,0.165,Call,0,1,20,1,Al Rayyan,2026-07-14,answered,0,0
CUST102676,0.4330141715909553,0.42,0.18,WhatsApp,1,1,17,2,Lusail,2026-07-14,answered,0,1
CUST101896,0.43083089184819,0.45,0.185,Email,0,0,18,2,Lusail,2026-07-14,no_answer,0,0
CUST100593,0.4302212692269268,0.64,0.07,WhatsApp,1,0,12,3,Al Rayyan,2026-07-14,answered,1,0
CUST101359,0.4299476650176312,0.52,0.12,WhatsApp,1,1,17,3,Salwa Road,2026-07-14,answered,0,1
CUST104765,0.4298403975445776,0.56,0.09,WhatsApp,1,0,13,1,West Bay,2026-07-14,answered,0,0
CUST101501,0.4297510961707103,0.475,0.165,WhatsApp,1,0,13,1,Lusail,2026-07-14,no_answer,0,0
CUST102613,0.4293754694570764,0.52,0.135,WhatsApp,1,0,11,2,Al Wakrah,2026-07-14,answered,1,0
